District,Size m2,Rooms number,Price,Rent,URL
 Targówek,64.0,3,1690.0,1020.0,https://www.olx.pl/d/oferta/do-wynajecia-mieszkanie-64-m2-targowek-brodno-1690-zl-CID3-IDLVyiv.html#0d85410fb0
 Wola,24.0,1,1600.0,250.0,https://www.olx.pl/d/oferta/studio-z-sypialnia-po-remoncie-wola-stacja-metra-ksiecia-janusza-CID3-IDLS427.html#0d85410fb0;promoted
 Ochota,40.0,2,2200.0,1.0,https://www.olx.pl/d/oferta/2-pokojowe-mieszkanie-ochota-szczesliwice-ciche-dobra-lokalizacja-CID3-IDLVxK4.html#0d85410fb0
 Wesoła,45.0,2,1650.0,500.0,https://www.olx.pl/d/oferta/mieszkanie-w-wesolej-przy-stacji-skm-CID3-IDKkhT6.html#0d85410fb0
 Praga-Południe,50.0,2,2300.0,1.0,https://www.olx.pl/d/oferta/piekne-mieszkanie-w-kamienicy-na-grochowie-CID3-IDLRAmx.html#908e50fc64;promoted
 Mokotów,34.5,2,2500.0,300.0,https://www.olx.pl/d/oferta/mieszkanie-mokotow-CID3-IDLLajC.html#908e50fc64;promoted
 Bielany,42.0,2,2100.0,12345.0,https://www.olx.pl/d/oferta/atrakcyjne-mieszkanie-blisko-metra-CID3-IDLL8Xr.html#908e50fc64;promoted
 Mokotów,37.0,2,2750.0,1.0,https://www.olx.pl/d/oferta/mieszkanie-mozaika-mokotow-ul-cybernetyki-od-listopada-CID3-IDGaD8Q.html#908e50fc64;promoted
 Białołęka,30.0,1,3300.0,1.0,https://www.olx.pl/d/oferta/mieszkanie-warszawa-CID3-IDLFohL.html#908e50fc64;promoted
 Żoliborz,27.0,1,1450.0,350.0,https://www.olx.pl/d/oferta/urokliwa-kawalerka-na-starym-zoliborzu-od-zaraz-CID3-IDIpTx5.html#908e50fc64
 Mokotów,35.0,2,2450.0,1.0,https://www.olx.pl/d/oferta/nowe-mieszkanie-mokotow-dwa-pokoje-z-kuchnia-CID3-IDLVxJr.html#908e50fc64
